Periodo,Residencia viajero,DATA
2019M07,No residentes en Espańa,1033.56
2019M08,TOTAL,13830.79
2019M08,Residentes en Espańa,12472.93
2019M08,No residentes en Espańa,1357.86
2019M09,TOTAL,7825.15
2019M09,Residentes en Espańa,6398.41
2019M09,No residentes en Espańa,1426.74
2019M10,TOTAL,8441.77
2019M10,Residentes en Espańa,7233.36
2019M10,No residentes en Espańa,1208.41
2019M11,TOTAL,7866.28
2019M11,Residentes en Espańa,7660.96
2019M11,No residentes en Espańa,205.32
2019M12,TOTAL,10074.85
2019M12,Residentes en Espańa,9986.01
2019M12,No residentes en Espańa,88.84
2020M01,TOTAL,2901.49
2020M01,Residentes en Espańa,2866.08
2020M01,No residentes en Espańa,35.41
2020M02,TOTAL,3743.53
2020M02,Residentes en Espańa,3685.35
2020M02,No residentes en Espańa,58.18
2020M03,TOTAL,1233.06
2020M03,Residentes en Espańa,1228.1
2020M03,No residentes en Espańa,4.95
2020M05,TOTAL,519.46
2020M05,Residentes en Espańa,514.58
2020M05,No residentes en Espańa,4.88
2020M06,TOTAL,2232.97
2020M06,Residentes en Espańa,2209.07
2020M06,No residentes en Espańa,23.91
2020M07,TOTAL,7280.3
2020M07,Residentes en Espańa,7029.94
2020M07,No residentes en Espańa,250.36
2020M08,TOTAL,13758.55
2020M08,Residentes en Espańa,13556.14
2020M08,No residentes en Espańa,202.41
2020M09,TOTAL,3179.72
2020M09,Residentes en Espańa,3021.93
2020M09,No residentes en Espańa,157.79
2020M10,TOTAL,2451.18
2020M10,Residentes en Espańa,2429.44
2020M10,No residentes en Espańa,21.73
2020M11,TOTAL,1064.99
2020M11,Residentes en Espańa,1055.33
2020M11,No residentes en Espańa,9.66
2020M12,TOTAL,1440.07
2020M12,Residentes en Espańa,1440.07
2020M12,No residentes en Espańa,
2021M01,TOTAL,438.12
2021M01,Residentes en Espańa,433.31
2021M01,No residentes en Espańa,4.81
2021M02,TOTAL,603.2
2021M02,Residentes en Espańa,598.47
2021M02,No residentes en Espańa,4.73
2021M03,TOTAL,887.96
2021M03,Residentes en Espańa,785.14
2021M03,No residentes en Espańa,102.81
2021M04,TOTAL,2031.44
2021M04,Residentes en Espańa,2026.8
2021M04,No residentes en Espańa,4.64
2021M05,TOTAL,2437.27
2021M05,Residentes en Espańa,2376.97
2021M05,No residentes en Espańa,60.29
2021M06,TOTAL,5177.09
2021M06,Residentes en Espańa,3573.44
2021M06,No residentes en Espańa,1603.65
2021M07,TOTAL,10185.83
2021M07,Residentes en Espańa,7951.74
2021M07,No residentes en Espańa,2234.1
2021M08,TOTAL,13825.6
2021M08,Residentes en Espańa,11291.83
2021M08,No residentes en Espańa,2533.78
2021M09,TOTAL,7038.31
2021M09,Residentes en Espańa,5003.74
2021M09,No residentes en Espańa,2034.57
2021M10,TOTAL,9594.3
2021M10,Residentes en Espańa,7711.6
2021M10,No residentes en Espańa,1882.71
2021M11,TOTAL,6429.85
2021M11,Residentes en Espańa,4756.07
2021M11,No residentes en Espańa,1673.78
2021M12,TOTAL,7321.91
2021M12,Residentes en Espańa,5955.65
2021M12,No residentes en Espańa,1366.26
2022M01,TOTAL,2132.94
2022M01,Residentes en Espańa,2079.16
2022M01,No residentes en Espańa,53.77
2022M02,TOTAL,2704.88
2022M02,Residentes en Espańa,2554.19
2022M02,No residentes en Espańa,150.69
2022M03,TOTAL,3476.79
2022M03,Residentes en Espańa,3138.5
2022M03,No residentes en Espańa,338.3
2022M04,TOTAL,7179.7
2022M04,Residentes en Espańa,6626.44
2022M04,No residentes en Espańa,553.26
2022M05,TOTAL,5701.93
2022M05,Residentes en Espańa,4686.06
2022M05,No residentes en Espańa,1015.88
2022M06,TOTAL,6137.79
2022M06,Residentes en Espańa,4959.43
2022M06,No residentes en Espańa,1178.36
2022M07,TOTAL,7434.22
2022M07,Residentes en Espańa,5748.72
2022M07,No residentes en Espańa,1685.5
2022M08,TOTAL,10868.58
2022M08,Residentes en Espańa,9141.7
2022M08,No residentes en Espańa,1726.88
2022M09,TOTAL,6962.69
2022M09,Residentes en Espańa,5467.45
2022M09,No residentes en Espańa,1495.24
2022M10,TOTAL,7129.23
2022M10,Residentes en Espańa,6229.6
2022M10,No residentes en Espańa,899.63
2022M11,TOTAL,4655.1
2022M11,Residentes en Espańa,4227.13
2022M11,No residentes en Espańa,427.97
2022M12,TOTAL,7200.2
2022M12,Residentes en Espańa,7044.8
2022M12,No residentes en Espańa,155.4
2023M01,TOTAL,2650.13
2023M01,Residentes en Espańa,2384.59
2023M01,No residentes en Espańa,265.54
2023M02,TOTAL,3922.09
2023M02,Residentes en Espańa,3829.15
2023M02,No residentes en Espańa,92.94
2023M03,TOTAL,4736.62
2023M03,Residentes en Espańa,4528.63
2023M03,No residentes en Espańa,207.99
2023M04,TOTAL,9401.93
2023M04,Residentes en Espańa,8785.2
2023M04,No residentes en Espańa,616.73
2023M05,TOTAL,6259.07
2023M05,Residentes en Espańa,5269.52
2023M05,No residentes en Espańa,989.56
2023M06,TOTAL,6414.08
2023M06,Residentes en Espańa,5238.92
2023M06,No residentes en Espańa,1175.16
2023M07,TOTAL,8426.5
2023M07,Residentes en Espańa,6921.47
2023M07,No residentes en Espańa,1505.04
2023M08,TOTAL,11733.44
2023M08,Residentes en Espańa,11079.61
2023M08,No residentes en Espańa,653.83
2023M09,TOTAL,7326.45
2023M09,Residentes en Espańa,5594.2
2023M09,No residentes en Espańa,1732.25
2023M10,TOTAL,8504.81
2023M10,Residentes en Espańa,7845.66
2023M10,No residentes en Espańa,659.14
2023M11,TOTAL,4716.74
2023M11,Residentes en Espańa,4529.51
2023M11,No residentes en Espańa,187.22
2023M12,TOTAL,8663.26
2023M12,Residentes en Espańa,8489.59
2023M12,No residentes en Espańa,173.67
2024M01,TOTAL,1542.56
2024M01,Residentes en Espańa,1474.88
2024M01,No residentes en Espańa,67.69
2024M02,TOTAL,2497.01
2024M02,Residentes en Espańa,2038.38
2024M02,No residentes en Espańa,458.64
2024M03,TOTAL,6560.83
2024M03,Residentes en Espańa,5616.28
2024M03,No residentes en Espańa,944.56
