Periodo,Residencia viajero,DATA
2022M02,No residentes en Espańa,65.3
2022M03,TOTAL,1619.87
2022M03,Residentes en Espańa,1429.73
2022M03,No residentes en Espańa,190.14
2022M04,TOTAL,3032.78
2022M04,Residentes en Espańa,2832.29
2022M04,No residentes en Espańa,200.49
2022M05,TOTAL,2881.13
2022M05,Residentes en Espańa,2229.62
2022M05,No residentes en Espańa,651.51
2022M06,TOTAL,2853.64
2022M06,Residentes en Espańa,2233.71
2022M06,No residentes en Espańa,619.93
2022M07,TOTAL,3458.49
2022M07,Residentes en Espańa,2578.43
2022M07,No residentes en Espańa,880.06
2022M08,TOTAL,3753.65
2022M08,Residentes en Espańa,2906.45
2022M08,No residentes en Espańa,847.19
2022M09,TOTAL,3393.24
2022M09,Residentes en Espańa,2549.97
2022M09,No residentes en Espańa,843.28
2022M10,TOTAL,3084.81
2022M10,Residentes en Espańa,2599.8
2022M10,No residentes en Espańa,485.02
2022M11,TOTAL,2139.84
2022M11,Residentes en Espańa,1947.13
2022M11,No residentes en Espańa,192.71
2022M12,TOTAL,2634.4
2022M12,Residentes en Espańa,2582.6
2022M12,No residentes en Espańa,51.8
2023M01,TOTAL,1075.46
2023M01,Residentes en Espańa,990.48
2023M01,No residentes en Espańa,84.97
2023M02,TOTAL,1941.13
2023M02,Residentes en Espańa,1885.37
2023M02,No residentes en Espańa,55.76
2023M03,TOTAL,2254.61
2023M03,Residentes en Espańa,2193.6
2023M03,No residentes en Espańa,61.01
2023M04,TOTAL,3851.33
2023M04,Residentes en Espańa,3500.03
2023M04,No residentes en Espańa,351.3
2023M05,TOTAL,3166.04
2023M05,Residentes en Espańa,2579.33
2023M05,No residentes en Espańa,586.7
2023M06,TOTAL,2933.9
2023M06,Residentes en Espańa,2337
2023M06,No residentes en Espańa,596.91
2023M07,TOTAL,3435.22
2023M07,Residentes en Espańa,2783.33
2023M07,No residentes en Espańa,651.9
2023M08,TOTAL,3734.98
2023M08,Residentes en Espańa,3418.96
2023M08,No residentes en Espańa,316.02
2023M09,TOTAL,3550.51
2023M09,Residentes en Espańa,2669.56
2023M09,No residentes en Espańa,880.95
2023M10,TOTAL,3613.28
2023M10,Residentes en Espańa,3314.39
2023M10,No residentes en Espańa,298.88
2023M11,TOTAL,2519.31
2023M11,Residentes en Espańa,2401.07
2023M11,No residentes en Espańa,118.25
2023M12,TOTAL,2983.1
2023M12,Residentes en Espańa,2929.47
2023M12,No residentes en Espańa,53.63
2024M01,TOTAL,801.56
2024M01,Residentes en Espańa,776.62
2024M01,No residentes en Espańa,24.94
2024M02,TOTAL,1307.96
2024M02,Residentes en Espańa,1090.53
2024M02,No residentes en Espańa,217.43
2024M03,TOTAL,2562.43
2024M03,Residentes en Espańa,2083.77
2024M03,No residentes en Espańa,478.66
